low,SUN_control,SUN-RGBD_control,test_images,high
000092_2014-05-14_21-48-51_260595134347_rgbf000151-resize.jpg,sun_aadteoxcyfrarcuy.jpg,000019_2014-05-26_14-40-57_260595134347_rgbf000061-resize.jpg,,000579_2014-06-08_11-07-06_260595134347_rgbf000166-resize.jpg
000102_2014-05-14_22-00-49_260595134347_rgbf000150-resize.jpg,sun_aajmrygrsoqheptx.jpg,000021_2014-05-26_14-42-06_260595134347_rgbf000041-resize.jpg,,001108_2014-06-15_17-24-15_260595134347_rgbf000135-resize.jpg
000377_2014-06-08_11-18-34_260595134347_rgbf000178-resize.jpg,sun_aakahzkcblfizcku.jpg,000061_2014-04-29_14-37-44_094959634447_rgbf000100-resize.jpg,,001234_2014-06-17_16-35-24_260595134347_rgbf000103-resize.jpg
000414_2014-06-04_19-49-13_260595134347_rgbf000044-resize.jpg,sun_aakynfpfyupnkxtn.jpg,000079_2014-05-14_21-35-51_260595134347_rgbf000172-resize.jpg,,001408_2014-06-19_16-16-19_260595134347_rgbf000084-resize.jpg
000425_2014-06-08_22-48-28_260595134347_rgbf000122-resize.jpg,sun_aatcallmtwwrjdkw.jpg,000138_2014-05-20_17-10-15_260595134347_rgbf000140-resize.jpg,,002110_2014-06-25_20-06-55_260595134347_rgbf000087-resize.jpg
000431_2014-06-08_18-52-18_260595134347_rgbf000187-resize.jpg,sun_aawkelmhizmqszhz.jpg,000222_2014-06-02_15-41-10_260595134347_rgbf000130-resize.jpg,,002524_2014-06-24_13-25-26_094959634447_rgbf000083-resize.jpg
000432_2014-06-09_22-26-55_260595134347_rgbf000109-resize.jpg,sun_aaxspwgpppcwlqht.jpg,000244_2014-06-02_16-06-10_260595134347_rgbf000076-resize.jpg,,002670_2014-06-13_16-04-57_094959634447_rgbf000151-resize.jpg
000437_2014-06-09_22-25-37_260595134347_rgbf000206-resize.jpg,sun_aazezsbjqxzmlvcs.jpg,000355_2014-06-09_20-32-26_260595134347_rgbf000181-resize.jpg,,sun_aajpqmulidejvjsr.jpg
000601_2014-06-09_16-48-31_260595134347_rgbf000133-resize.jpg,sun_abigoqqrjzdhsqze.jpg,000448_2014-06-08_16-16-21_260595134347_rgbf000129-resize.jpg,,sun_aatxlublfjchvvzu.jpg
000602_2014-06-09_16-48-52_260595134347_rgbf000117-resize.jpg,sun_abxxdoodgnirhtds.jpg,000481_2014-06-09_20-40-39_260595134347_rgbf000199-resize.jpg,,sun_aaytokfqmwbsyxwg.jpg
000643_2014-06-08_16-59-43_260595134347_rgbf000183-resize.jpg,sun_acaowsylrnrdzonc.jpg,000613_2014-06-09_17-01-36_260595134347_rgbf000141-resize.jpg,,sun_abbwggenhfbftyvi.jpg
000646_2014-06-08_17-01-04_260595134347_rgbf000120-resize.jpg,sun_accgcmqkndbwjwaf.jpg,000616_2014-06-09_17-03-45_260595134347_rgbf000132-resize.jpg,,sun_abjmqnkxnaqbdlxr.jpg
000666_2014-06-09_21-05-49_260595134347_rgbf000155-resize.jpg,sun_acjudivxtakuozxc.jpg,000624_2014-06-08_11-26-08_260595134347_rgbf000265-resize.jpg,,sun_abpmyykpuijkvxbq.jpg
000675_2014-06-08_22-59-18_260595134347_rgbf000096-resize.jpg,sun_aclmoxwmazctsgls.jpg,000627_2014-06-08_16-23-54_260595134347_rgbf000173-resize.jpg,,sun_abpxxzzjsgowyosm.jpg
000679_2014-06-08_23-12-01_260595134347_rgbf000049-resize.jpg,sun_adcsbfazysbqddva.jpg,000655_2014-06-08_17-10-34_260595134347_rgbf000176-resize.jpg,,sun_abufhmovlhmdarxn.jpg
000682_2014-06-08_23-14-58_260595134347_rgbf000041-resize.jpg,sun_adijpnhmzotvliyl.jpg,000673_2014-06-08_22-54-36_260595134347_rgbf000066-resize.jpg,,sun_abxnragferwudbgs.jpg
000699_2014-06-08_13-22-06_260595134347_rgbf000265-resize.jpg,sun_adswslrmlsloyrda.jpg,000692_2014-06-08_13-09-42_260595134347_rgbf000199-resize.jpg,,sun_achyrfibuxufqigz.jpg
000742_2014-06-08_18-48-09_260595134347_rgbf000164-resize.jpg,sun_advrhrvskotjztnq.jpg,000694_2014-06-08_13-12-30_260595134347_rgbf000219-resize.jpg,,sun_acnonyefptfdcngi.jpg
000749_2014-06-08_21-55-06_260595134347_rgbf000070-resize.jpg,sun_aebqotnzwysdidme.jpg,000696_2014-06-08_13-13-31_260595134347_rgbf000101-resize.jpg,,sun_acpuictxvpnvhubp.jpg
000828_2014-06-04_19-48-29_260595134347_rgbf000105-resize.jpg,sun_aebtaahxpldhjrna.jpg,000830_2014-06-04_19-49-31_260595134347_rgbf000096-resize.jpg,,sun_acuwiohfaielluxt.jpg
000922_2014-06-09_16-25-16_260595134347_rgbf000150-resize.jpg,sun_aeczgaoxqprdbdwp.jpg,000930_2014-06-09_16-35-05_260595134347_rgbf000153-resize.jpg,,sun_acvikfymjcoxwypo.jpg
001092_2014-06-15_17-34-58_260595134347_rgbf000171-resize.jpg,sun_aelqkybtlofguetl.jpg,001098_2014-06-15_17-43-53_260595134347_rgbf000237-resize.jpg,,sun_adbjjujrprqxejaw.jpg
001142_2014-06-17_15-24-05_260595134347_rgbf000071-resize.jpg,sun_aeynrahgsovgbhzl.jpg,001109_2014-06-15_17-24-58_260595134347_rgbf000147-resize.jpg,,sun_adbngeqzsjhrtfpi.jpg
001155_2014-06-17_15-30-16_260595134347_rgbf000061-resize.jpg,sun_afochopfjycsvodt.jpg,001120_2014-06-15_17-44-24_260595134347_rgbf000192-resize.jpg,,sun_adlatlavfglzcgrx.jpg
001170_2014-06-17_15-43-44_260595134347_rgbf000096-resize.jpg,sun_afozcfygdaejluqm.jpg,001140_2014-06-17_15-21-26_260595134347_rgbf000100-resize.jpg,,sun_admavvyopdfyvmnn.jpg
001354_2014-06-19_15-45-57_260595134347_rgbf000069-resize.jpg,sun_agivzozuwzewtpmv.jpg,001175_2014-06-17_15-45-55_260595134347_rgbf000129-resize.jpg,,sun_aduhygrfpghchdch.jpg
001362_2014-06-19_15-50-24_260595134347_rgbf000076-resize.jpg,sun_agtplbzvdribttal.jpg,001182_2014-06-17_15-51-16_260595134347_rgbf000070-resize.jpg,,sun_advxbmssrnqlofdo.jpg
001375_2014-06-19_15-56-19_260595134347_rgbf000078-resize.jpg,sun_agxlwxqhxrjmsvvk.jpg,001243_2014-06-17_16-42-18_260595134347_rgbf000057-resize.jpg,,sun_adwqqkpnurzkvqry.jpg
001377_2014-06-19_15-57-51_260595134347_rgbf000072-resize.jpg,sun_ahkqsebojontjojs.jpg,001329_2014-06-16_16-52-47_260595134347_rgbf000060-resize.jpg,,sun_aebarclxjssfwxyk.jpg
001379_2014-06-19_15-58-14_260595134347_rgbf000042-resize.jpg,sun_ahrushzujkatlsxx.jpg,001363_2014-06-19_15-50-43_260595134347_rgbf000084-resize.jpg,,sun_aemuwaczsnhcvzli.jpg
001411_2014-06-19_16-21-54_260595134347_rgbf000171-resize.jpg,sun_aidxzssadrjvqbkp.jpg,001394_2014-06-19_16-09-16_260595134347_rgbf000092-resize.jpg,,sun_aeteixvmlbahzsbr.jpg
001456_2014-06-19_17-07-43_260595134347_rgbf000108-resize.jpg,sun_aiewbfesvvdzrhei.jpg,001406_2014-06-19_16-15-34_260595134347_rgbf000073-resize.jpg,,sun_afcofuuzebuadceo.jpg
001581_2014-06-20_17-33-02_260595134347_rgbf000069-resize.jpg,sun_aifcmdmhbozowxgd.jpg,001483_2014-06-19_17-36-01_260595134347_rgbf000064-resize.jpg,,sun_afefkxscdspuddob.jpg
001613_2014-06-20_11-32-48_260595134347_rgbf000054-resize.jpg,sun_aionqsmjfgxamkmh.jpg,001619_2014-06-20_11-37-45_260595134347_rgbf000103-resize.jpg,,sun_afjelcegxkybndnw.jpg
