Selected,"Cluttered (0, 1)",Unsure ,Unsure Criterion ,"Cluttered (0, 1)",Excluded ,,,,,,,,,,,,,,,,,,,,
h/home_office/sun_abeuudsvoakejtcw.jpg,1,h/home_office/sun_bgjzkpfielptgoys.jpg,abnormal angle,0,h/home_office/sun_aesjpvqyfjyjtcdj.jpg,,,,,,,,,,,,,,,,,,,,
h/home_office/sun_agxlwxqhxrjmsvvk.jpg,1,h/home_office/sun_bgayxnecjrrckalp.jpg,Conflicting Mean Depths ,0,h/home_office/sun_bchbcfyjxaitxtiv.jpg,,,,,,,,,,,,,,,,,,,,
h/home_office/sun_axpvmlxprftjwynu.jpg,0,h/home_office/sun_butidsxedlgzmlro.jpg,"abnormal angle, light",,h/home_office/sun_beqfbpngrikhaeks.jpg,,,,,,,,,,,,,,,,,,,,
h/home_office/sun_bftkancdseujtsik.jpg,0,h/hotel_room/sun_aabmnakwxzndfeoa.jpg,"open end, conflicting mean depth",,h/home_office/sun_bkcjevbtphasuzwz.jpg,,,,,,,,,,,,,,,,,,,,
h/home_office/sun_bhwfwrymwygdxfse.jpg,1,h/hotel_room/sun_afsxdfvrwksndewx.jpg,"open end, conflicting mean depth",,h/home_office/sun_boheixumleqvxmjm.jpg,,,,,,,,,,,,,,,,,,,,
h/home_office/sun_bnhgmewonjiyiecs.jpg,0,l/locker_room/sun_btylpseeemoqeamc.jpg,"dark, weird angle",,h/home_office/sun_bwjxesrxrkzcidwk.jpg,,,,,,,,,,,,,,,,,,,,
h/home_office/sun_bofuvpdnxtbfmrvp.jpg,1,l/locker_room/sun_bgudsyephkmwllut.jpg,"abnormal angle, not enough floor?",,h/home_office/sun_byzgttbrcofmsaia.jpg,,,,,,,,,,,,,,,,,,,,
h/home_office/sun_bvxzlpplafmfjhaw.jpg,1,l/locker_room/sun_bfvdmtrlwilbhnjk.jpg,"abnormal angle, light",,h/home_office/sun_bzsynxqwchbqptml.jpg,,,,,,,,,,,,,,,,,,,,
h/hotel_room/sun_aasnnbbavmebvphn.jpg,0,l/locker_room/sun_apvgomkqypswzudc.jpg,"abnormal angle, light",,h/hotel_room/sun_ablwdedazuoobezb.jpg,,,,,,,,,,,,,,,,,,,,
h/hotel_room/sun_abjmqnkxnaqbdlxr.jpg,0,l/locker_room/sun_byhpvmtjoirsxiwm.jpg,dark,,h/hotel_room/sun_adsfihqcowpyfyoh.jpg,,,,,,,,,,,,,,,,,,,,
h/hotel_room/sun_acdzckzxwtlkpmqf.jpg,1,l/laundromat/sun_aiewbfesvvdzrhei.jpg,abnormal angle,,h/hotel_room/sun_ahmawvdhmkesbnlg.jpg,,,,,,,,,,,,,,,,,,,,
h/hotel_room/sun_achyrfibuxufqigz.jpg,1,sun_ahatmjfslrvdayyf.jpg,abnormal angle,,j/jewelry_shop/sun_ablpbxnrsgunppxd.jpg,,,,,,,,,,,,,,,,,,,,
h/hotel_room/sun_adcsbfazysbqddva.jpg,0,,,,j/jewelry_shop/sun_bygarldmvfahufvg.jpg,,,,,,,,,,,,,,,,,,,,
h/hotel_room/sun_aenyanwjhrycarxf.jpg,0,,,,j/jewelry_shop/sun_azvwsvhdsmvnmwoe.jpg,,,,,,,,,,,,,,,,,,,,
h/hotel_room/sun_afaolcghnroyzqwy.jpg,0,,,,j/jewelry_shop/sun_awkskbflrnfhvxie.jpg,,,,,,,,,,,,,,,,,,,,
h/hotel_room/sun_afxacxlkczlheggu.jpg,0,,,,j/jewelry_shop/sun_awiblzcrhooqndit.jpg,,,,,,,,,,,,,,,,,,,,
h/hotel_room/sun_aidxzssadrjvqbkp.jpg,0,,,,j/jewelry_shop/sun_avasnfwgujxskarr.jpg,,,,,,,,,,,,,,,,,,,,
h/hotel_room/sun_akavuoxhsnrshjtb.jpg,0,,,,j/jewelry_shop/sun_avaqvxtmtcxnfgcw.jpg,,,,,,,,,,,,,,,,,,,,
h/hotel_room/sun_aldiqdwgauilevkh.jpg,0,,,,j/jewelry_shop/sun_atitqddexozrfuan.jpg,,,,,,,,,,,,,,,,,,,,
j/jewelry_shop/sun_awhorurgireowbfy.jpg,0,,,,j/jewelry_shop/sun_atesxygohgoznvip.jpg,,,,,,,,,,,,,,,,,,,,
j/jewelry_shop/sun_avhxxdqnabkswliu.jpg,0,,,,j/jewelry_shop/sun_aslukarqbxwlyatc.jpg,,,,,,,,,,,,,,,,,,,,
j/jewelry_shop/sun_alrvpvpmsndbnsmi.jpg,1,,,,j/jewelry_shop/sun_arswhxfdyxmfehll.jpg,,,,,,,,,,,,,,,,,,,,
j/jewelry_shop/sun_allvazcbwoukmnuz.jpg,0,,,,j/jewelry_shop/sun_apqlupnyvvvjmpyb.jpg,,,,,,,,,,,,,,,,,,,,
