Selected,"Cluttered (0, 1)",Unsure ,Unsure Criterion ,"Cluttered (0, 1)",Excluded ,NOTES,,,,,,,,,,,,,,,,,,,,
bathroom/000161_2014-04-14_00-08-40_094959634447_rgbf000225-resize/image/0000225.jpg,0,bathroom/001378_2014-06-19_15-58-05_260595134347_rgbf000058-resize/image/0000058.jpg,conflicting mean depths,0,bathroom/000160_2014-04-14_00-07-25_094959634447_rgbf000226-resize/image/0000226.jpg,bathroom: done,,,,,,,,,,,,,,,,,,,,
bathroom/000808_2014-06-08_17-18-58_260595134347_rgbf000046-resize/image/0000046.jpg,0,bathroom/001586_2014-06-20_11-10-51_260595134347_rgbf000072-resize/image/0000072.jpg,conflicting mean depths,0,bathroom/000162_2014-05-16_20-23-47_260595134347_rgbf000089-resize/image/0000089.jpg,,,,,,,,,,,,,,,,,,,,,
bathroom/000810_2014-06-08_17-20-01_260595134347_rgbf000105-resize/image/0000105.jpg,0,bathroom/002836_2014-06-22_20-37-58_094959634447_rgbf000078-resize/image/0000078.jpg,conflicting mean depths,0,bathroom/000163_2014-05-16_20-29-14_260595134347_rgbf000170-resize/image/0000170.jpg,,,,,,,,,,,,,,,,,,,,,
bathroom/001362_2014-06-19_15-50-24_260595134347_rgbf000076-resize/image/0000076.jpg,0,bedroom/000829_2014-06-04_19-48-51_260595134347_rgbf000047-resize/image/0000047.jpg,conflicting mean depths,0,bathroom/000164_2014-05-16_20-33-52_260595134347_rgbf000021-resize/image/0000021.jpg,,,,,,,,,,,,,,,,,,,,,
bathroom/001363_2014-06-19_15-50-43_260595134347_rgbf000084-resize/image/0000084.jpg,0,bedroom/002037_2014-06-24_20-21-35_260595134347_rgbf000033-resize/image/0000033.jpg,conflicting mean depths,0,bathroom/000165_2014-05-16_20-34-36_260595134347_rgbf000130-resize/image/0000130.jpg,,,,,,,,,,,,,,,,,,,,,
bathroom/001377_2014-06-19_15-57-51_260595134347_rgbf000072-resize/image/0000072.jpg,0,classroom/000341_2014-06-08_11-40-02_260595134347_rgbf000137-resize/image/0000137.jpg,conflicting mean depths,0,bathroom/000172_2014-05-12_16-19-04_260595134347_rgbf000198-resize/image/0000198.jpg,,,,,,,,,,,,,,,,,,,,,
bathroom/001379_2014-06-19_15-58-14_260595134347_rgbf000042-resize/image/0000042.jpg,0,classroom/001442_2014-06-19_16-57-58_260595134347_rgbf000070-resize/image/0000070.jpg,conflicting mean depths,0,bathroom/000180_2014-05-12_16-25-28_260595134347_rgbf000334-resize/image/0000334.jpg,,,,,,,,,,,,,,,,,,,,,
bathroom/001380_2014-06-19_15-59-48_260595134347_rgbf000101-resize/image/0000101.jpg,0,classroom/002621_2014-06-24_14-43-56_094959634447_rgbf000039-resize/image/0000039.jpg,conflicting mean depths,0,bathroom/000182_2014-05-12_16-27-28_260595134347_rgbf000247-resize/image/0000247.jpg,,,,,,,,,,,,,,,,,,,,,
bathroom/001381_2014-06-19_16-00-03_260595134347_rgbf000042-resize/image/0000042.jpg,0,bedroom/003094_2014-06-24_21-02-37_094959634447_rgbf000070-resize/image/0000070.jpg,irregular angle,0,bathroom/000185_2014-05-12_16-41-00_260595134347_rgbf003868-resize/image/0003868.jpg,,,,,,,,,,,,,,,,,,,,,
bathroom/001382_2014-06-19_16-00-21_260595134347_rgbf000061-resize/image/0000061.jpg,0,bedroom/002764_2014-06-22_19-13-43_094959634447_rgbf000068-resize/image/0000068.jpg,lack of scene structure,0,bathroom/000196_2014-06-02_14-53-30_260595134347_rgbf000215-resize/image/0000215.jpg,,,,,,,,,,,,,,,,,,,,,
bathroom/001463_2014-06-19_17-25-16_260595134347_rgbf000079-resize/image/0000079.jpg,0,,,,bathroom/000197_2014-06-02_15-33-51_260595134347_rgbf000021-resize/image/0000021.jpg,,,,,,,,,,,,,,,,,,,,,
bathroom/001552_2014-06-20_17-09-40_260595134347_rgbf000087-resize/image/0000087.jpg,0,,,,bathroom/000198_2014-06-02_15-34-15_260595134347_rgbf000026-resize/image/0000026.jpg,,,,,,,,,,,,,,,,,,,,,
bathroom/001562_2014-06-20_17-15-27_260595134347_rgbf000104-resize/image/0000104.jpg,0,,,,bathroom/000199_2014-06-02_15-35-11_260595134347_rgbf000034-resize/image/0000034.jpg,,,,,,,,,,,,,,,,,,,,,
bathroom/001581_2014-06-20_17-33-02_260595134347_rgbf000069-resize/image/0000069.jpg,0,,,,bathroom/000404_2014-06-04_19-34-11_260595134347_rgbf006501-resize/image/0006501.jpg,,,,,,,,,,,,,,,,,,,,,
bathroom/002087_2014-06-25_19-43-15_260595134347_rgbf000134-resize/image/0000134.jpg,0,,,,bathroom/000411_2014-06-04_19-25-55_260595134347_rgbf000107-resize/image/0000107.jpg,,,,,,,,,,,,,,,,,,,,,
bathroom/002140_2014-06-25_21-20-16_260595134347_rgbf000082-resize/image/0000082.jpg,0,,,,bathroom/000416_2014-06-04_19-53-49_260595134347_rgbf000045-resize/image/0000045.jpg,,,,,,,,,,,,,,,,,,,,,
bathroom/002696_2014-06-22_11-24-40_094959634447_rgbf000006-resize/image/0000006.jpg,0,,,,bathroom/000809_2014-06-08_17-19-30_260595134347_rgbf000108-resize/image/0000108.jpg,,,,,,,,,,,,,,,,,,,,,
bathroom/002704_2014-06-22_11-30-07_094959634447_rgbf000096-resize/image/0000096.jpg,0,,,,bathroom/000811_2014-06-08_17-20-18_260595134347_rgbf000128-resize/image/0000128.jpg,,,,,,,,,,,,,,,,,,,,,
bathroom/002706_2014-06-22_11-30-39_094959634447_rgbf000074-resize/image/0000074.jpg,0,,,,bathroom/000812_2014-06-09_22-30-20_260595134347_rgbf000091-resize/image/0000091.jpg,,,,,,,,,,,,,,,,,,,,,
bathroom/002774_2014-06-22_19-23-17_094959634447_rgbf000085-resize/image/0000085.jpg,0,,,,bathroom/000813_2014-06-09_22-30-58_260595134347_rgbf000163-resize/image/0000163.jpg,,,,,,,,,,,,,,,,,,,,,
bathroom/002781_2014-06-22_19-25-44_094959634447_rgbf000084-resize/image/0000084.jpg,0,,,,bathroom/000836_2014-06-04_19-53-08_260595134347_rgbf000044-resize/image/0000044.jpg,,,,,,,,,,,,,,,,,,,,,
bathroom/003103_2014-06-24_21-06-25_094959634447_rgbf000083-resize/image/0000083.jpg,0,,,,bathroom/000837_2014-06-04_19-53-28_260595134347_rgbf000078-resize/image/0000078.jpg,,,,,,,,,,,,,,,,,,,,,
bathroom/003374_2014-05-20_14-24-41_094959634447_rgbf000100-resize/image/0000100.jpg,0,,,,bathroom/000838_2014-06-04_19-54-03_260595134347_rgbf000064-resize/image/0000064.jpg,,,,,,,,,,,,,,,,,,,,,
bathroom/003382_2014-05-20_14-41-00_094959634447_rgbf000101-resize/image/0000101.jpg,0,,,,bathroom/001090_2014-06-08_17-19-16_260595134347_rgbf000035-resize/image/0000035.jpg,,,,,,,,,,,,,,,,,,,,,
