Selected,"Cluttered (0, 1)",Unsure ,Unsure Criterion ,"Cluttered (0, 1)",Excluded ,NOTES,,,,,,,,,,,,,,,,,,,,
s/shoe_shop/sun_ahsjwikeppwlqtlx.jpg,0,w/waiting_room/sun_aionqsmjfgxamkmh.jpg,conflicting mean depths,0,s/shoe_shop/sun_aabllpjfwbxcirjd.jpg,shoe shop: done,,,,,,,,,,,,,,,,,,,,
s/shoe_shop/sun_axfoumpbgfoekptd.jpg,0,w/waiting_room/sun_asrwpjohooiccrxd.jpg,human distraction,0,s/shoe_shop/sun_abgbguoxdypdmzuy.jpg,indoor shopping mall: done,,,,,,,,,,,,,,,,,,,,
s/shoe_shop/sun_azcvpbvebfdkipsb.jpg,0,w/waiting_room/sun_aionqsmjfgxamkmh.jpg,conflicting mean depths,0,s/shoe_shop/sun_acjcxqkisctlvqcf.jpg,utility room: done,,,,,,,,,,,,,,,,,,,,
s/shoe_shop/sun_bdstfafqohpgtdug.jpg,0,w/waiting_room/sun_asrwpjohooiccrxd.jpg,human distraction,0,s/shoe_shop/sun_aclxgnsmuzefevbj.jpg,waiting room: done,,,,,,,,,,,,,,,,,,,,
u/utility_room/sun_assxhsklhqyscytz.jpg,0,y/youth_hostel/sun_bcwhwhezuwvwalfi.jpg,conflicting mean depths,0,s/shoe_shop/sun_aduqhosugfbtjkwv.jpg,wet bar: done,,,,,,,,,,,,,,,,,,,,
u/utility_room/sun_dszyiikuzuvzijhr.jpg,0,y/youth_hostel/sun_belslbhkgfnryero.jpg,conflicting mean depths,0,s/shoe_shop/sun_aikfhbmzvfgzjxvx.jpg,wine cellar: done,,,,,,,,,,,,,,,,,,,,
u/utility_room/sun_dweidaiqffssfbiz.jpg,0,s/supermarket/sun_azhrlyayqrxutasp.jpg,irregular angle,0,s/shoe_shop/sun_ajzvhtitatglynpr.jpg,youth hostel: done,,,,,,,,,,,,,,,,,,,,
u/utility_room/sun_dxoegkxemkuknfgp.jpg,0,t/toyshop/sun_apfgdandvgbewdsf.jpg,confusing scene,0,s/shoe_shop/sun_akykrojcfmabmaws.jpg,staircase: done,,,,,,,,,,,,,,,,,,,,
u/utility_room/sun_doyfckqysjamsckb.jpg,0,w/waiting_room/sun_bksmpbpsaawxnqom.jpg,conflicting mean depths,0,s/shoe_shop/sun_amvcawmmeawsgpsa.jpg,supermarket: done,,,,,,,,,,,,,,,,,,,,
u/utility_room/sun_dgtgwmmoomuexhhc.jpg,0,w/waiting_room/sun_buipycrgwmfcakvq.jpg,"irregular angle, disproportionate",0,s/shoe_shop/sun_angyccshlbsmwtnl.jpg,toyshop: done,,,,,,,,,,,,,,,,,,,,
u/utility_room/sun_djvfskyyofjfjgxm.jpg,0,w/waiting_room/sun_buixsszekbozqann.jpg,conflicting mean depths,0,s/shoe_shop/sun_anonbpxyrgrsdwiy.jpg,sushi bar: done,,,,,,,,,,,,,,,,,,,,
w/waiting_room/sun_ajkfxulschratyle.jpg,0,w/waiting_room/sun_bvigsjttmentskwt.jpg,conflicting mean depths,0,s/shoe_shop/sun_anpvpxmcereirktj.jpg,,,,,,,,,,,,,,,,,,,,,
w/waiting_room/sun_amexfydwjdtyhydu.jpg,0,,,,s/shoe_shop/sun_apbptmlbnbpkwipf.jpg,,,,,,,,,,,,,,,,,,,,,
w/waiting_room/sun_amryrgnwwxitwqbe.jpg,0,,,,s/shoe_shop/sun_aqupovevcsqdejxk.jpg,,,,,,,,,,,,,,,,,,,,,
w/waiting_room/sun_ansoqsfvbzwkrhxx.jpg,0,,,,s/shoe_shop/sun_atgqschakoselcmm.jpg,,,,,,,,,,,,,,,,,,,,,
w/waiting_room/sun_aozwquspttjvqguq.jpg,0,,,,s/shoe_shop/sun_aticyalddybpjrsz.jpg,,,,,,,,,,,,,,,,,,,,,
