Selected,"Cluttered (0, 1)",Unsure ,Unsure Criterion ,"Cluttered (0, 1)",Excluded ,,,,,,,,,,,,,,,,,,,,
furniture_store/000010_2014-05-26_14-32-36_260595134347_rgbf000020-resize/image/0000020.jpg,1,furniture_store/000030_2014-05-26_14-49-03_260595134347_rgbf000081-resize/image/0000081.jpg,conflicting mean depth,0,furniture_store/000002_2014-05-26_14-23-37_260595134347_rgbf000103-resize/image/0000103.jpg,,,,,,,,,,,,,,,,,,,,
furniture_store/000016_2014-05-26_14-38-10_260595134347_rgbf000059-resize/image/0000059.jpg,0,furniture_store/000049_2014-05-26_15-02-19_260595134347_rgbf000071-resize/image/0000071.jpg,conflicting mean depth,0,furniture_store/000003_2014-05-26_14-24-42_260595134347_rgbf000040-resize/image/0000040.jpg,,,,,,,,,,,,,,,,,,,,
furniture_store/000017_2014-05-26_14-38-49_260595134347_rgbf000059-resize/image/0000059.jpg,1,furniture_store/000054_2014-05-26_15-06-14_260595134347_rgbf000121-resize/image/0000121.jpg,irregular angle,0,furniture_store/000008_2014-05-26_14-30-06_260595134347_rgbf000060-resize/image/0000060.jpg,,,,,,,,,,,,,,,,,,,,
furniture_store/000019_2014-05-26_14-40-57_260595134347_rgbf000061-resize/image/0000061.jpg,1,furniture_store/000201_2014-06-02_14-52-57_260595134347_rgbf000512-resize/image/0000512.jpg,irregular angle,0,furniture_store/000009_2014-05-26_14-32-05_260595134347_rgbf000034-resize/image/0000034.jpg,,,,,,,,,,,,,,,,,,,,
furniture_store/000021_2014-05-26_14-42-06_260595134347_rgbf000041-resize/image/0000041.jpg,1,furniture_store/000210_2014-06-02_15-32-43_260595134347_rgbf000055-resize/image/0000055.jpg,conflicting mean depth,1,furniture_store/000011_2014-05-26_14-33-11_260595134347_rgbf000020-resize/image/0000020.jpg,,,,,,,,,,,,,,,,,,,,
furniture_store/000022_2014-05-26_14-42-46_260595134347_rgbf000031-resize/image/0000031.jpg,0,furniture_store/000216_2014-06-02_15-39-05_260595134347_rgbf000117-resize/image/0000117.jpg,conflicting mean depth,0,furniture_store/000012_2014-05-26_14-35-37_260595134347_rgbf000180-resize/image/0000180.jpg,,,,,,,,,,,,,,,,,,,,
furniture_store/000045_2014-05-26_14-59-30_260595134347_rgbf000113-resize/image/0000113.jpg,0,/Users/surajkandoth/Downloads/Suraj__MeanDepth_SUNRGBD_Stimuli/furniture_store/000241_2014-06-02_15-57-42_260595134347_rgbf000060-resize/image/0000060.jpg,irregular angle/tilt,0,furniture_store/000013_2014-05-26_14-36-25_260595134347_rgbf000040-resize/image/0000040.jpg,,,,,,,,,,,,,,,,,,,,
furniture_store/000222_2014-06-02_15-41-10_260595134347_rgbf000130-resize/image/0000130.jpg,0,furniture_store/000248_2014-06-02_16-07-59_260595134347_rgbf000019-resize/image/0000019.jpg,irregular angle/tilt,0,furniture_store/000014_2014-05-26_14-36-58_260595134347_rgbf000050-resize/image/0000050.jpg,,,,,,,,,,,,,,,,,,,,
furniture_store/000231_2014-06-02_15-46-37_260595134347_rgbf000056-resize/image/0000056.jpg,0,furniture_store/000261_2014-06-02_15-14-31_260595134347_rgbf000125-resize/image/0000125.jpg,irregular angle,0,furniture_store/000015_2014-05-26_14-37-33_260595134347_rgbf000020-resize/image/0000020.jpg,,,,,,,,,,,,,,,,,,,,
furniture_store/000244_2014-06-02_16-06-10_260595134347_rgbf000076-resize/image/0000076.jpg,0,furniture_store/000273_2014-06-02_15-11-55_260595134347_rgbf000045-resize/image/0000045.jpg,irregular angle/tilt,0,furniture_store/000018_2014-05-26_14-39-47_260595134347_rgbf000001-resize/image/0000001.jpg,,,,,,,,,,,,,,,,,,,,
home_office/000415_2014-06-04_19-50-03_260595134347_rgbf000070-resize/image/0000070.jpg,0,home_office/002051_2014-06-24_20-57-45_260595134347_rgbf000082-resize/image/0000082.jpg,conflicting mean depth,0,furniture_store/000024_2014-05-26_14-44-24_260595134347_rgbf000055-resize/image/0000055.jpg,,,,,,,,,,,,,,,,,,,,
home_office/000437_2014-06-09_22-25-37_260595134347_rgbf000206-resize/image/0000206.jpg,1,home_office/002074_2014-06-24_21-52-30_260595134347_rgbf000058-resize/image/0000058.jpg,irregular angle,0,furniture_store/000026_2014-05-26_14-45-58_260595134347_rgbf000021-resize/image/0000021.jpg,,,,,,,,,,,,,,,,,,,,
home_office/000438_2014-06-09_22-26-12_260595134347_rgbf000149-resize/image/0000149.jpg,0,home_office/003650_2014-05-24_13-58-41_094959634447_rgbf000101-resize/image/0000101.jpg,irregular angle/bird's eye view,1,furniture_store/000027_2014-05-26_14-46-26_260595134347_rgbf000091-resize/image/0000091.jpg,,,,,,,,,,,,,,,,,,,,
home_office/001097_2014-06-15_17-42-58_260595134347_rgbf000248-resize/image/0000248.jpg,1,kitchen/000069_2014-04-13_23-58-49_094959634447_rgbf000224-resize/image/0000224.jpg,lack of scene structure,0,furniture_store/000029_2014-05-26_14-48-17_260595134347_rgbf000035-resize/image/0000035.jpg,,,,,,,,,,,,,,,,,,,,
home_office/003651_2014-05-24_13-59-02_094959634447_rgbf000100-resize/image/0000100.jpg,0,kitchen/000428_2014-06-08_23-12-36_260595134347_rgbf000170-resize/image/0000170.jpg,irregular angle,0,furniture_store/000031_2014-05-26_14-50-05_260595134347_rgbf000051-resize/image/0000051.jpg,,,,,,,,,,,,,,,,,,,,
kitchen/000067_2014-04-13_23-40-52_094959634447_rgbf000225-resize/image/0000225.jpg,0,kitchen/000844_2014-06-08_17-35-51_260595134347_rgbf000150-resize/image/0000150.jpg,irregular angle/tilt,0,furniture_store/000032_2014-05-26_14-50-29_260595134347_rgbf000068-resize/image/0000068.jpg,,,,,,,,,,,,,,,,,,,,
